was succesful, reward, actual steps, target steps, runs completed
1,1166,1025,1024,1
1,1166,1025,1024,2
0,112,240,1024,3
0,-184,127,1024,4
0,-40,110,1024,5
0,-72,68,1024,6
0,-24,124,1024,7
0,-48,97,1024,8
0,48,161,1024,9
0,-24,127,1024,10
0,-32,113,1024,11
0,56,174,1024,12
1,1166,1025,1024,13
0,-32,119,1024,14
0,96,227,1024,15
0,128,265,1024,16
1,1166,1025,1024,17
0,-40,106,1024,18
0,112,242,1024,19
0,48,164,1024,20
1,1166,1025,1024,21
0,56,174,1024,22
1,1166,1025,1024,23
1,1166,1025,1024,24
0,-16,138,1024,25
1,1166,1025,1024,26
0,-24,130,1024,27
0,80,205,1024,28
0,96,222,1024,29
0,-8,145,1024,30
0,-96,33,1024,31
1,1166,1025,1024,32
0,64,182,1024,33
0,-24,128,1024,34
0,-24,126,1024,35
0,128,269,1024,36
0,64,184,1024,37
0,88,219,1024,38
1,1166,1025,1024,39
1,1166,1025,1024,40
0,-176,131,1024,41
1,1166,1025,1024,42
0,-16,138,1024,43
0,48,161,1024,44
1,1166,1025,1024,45
0,-24,124,1024,46
0,72,191,1024,47
0,72,192,1024,48
0,120,256,1024,49
0,-48,95,1024,50
0,-32,118,1024,51
0,40,155,1024,52
0,-40,104,1024,53
0,-56,88,1024,54
0,80,201,1024,55
0,-32,119,1024,56
1,1166,1025,1024,57
1,1166,1025,1024,58
1,1166,1025,1024,59
0,64,186,1024,60
1,1166,1025,1024,61
1,1166,1025,1024,62
0,120,256,1024,63
0,-56,87,1024,64
1,1166,1025,1024,65
0,152,290,1024,66
0,96,222,1024,67
1,1166,1025,1024,68
1,1166,1025,1024,69
0,-32,120,1024,70
0,48,167,1024,71
0,496,722,1024,72
1,1166,1025,1024,73
0,80,202,1024,74
1,1166,1025,1024,75
0,40,151,1024,76
0,64,181,1024,77
1,1166,1025,1024,78
1,1166,1025,1024,79
1,1166,1025,1024,80
1,1166,1025,1024,81
0,-72,64,1024,82
1,1166,1025,1024,83
1,1166,1025,1024,84
1,1166,1025,1024,85
0,-48,97,1024,86
0,-32,114,1024,87
0,-32,118,1024,88
1,1166,1025,1024,89
0,72,190,1024,90
0,64,181,1024,91
0,56,174,1024,92
1,1166,1025,1024,93
1,1166,1025,1024,94
0,-24,128,1024,95
0,48,165,1024,96
1,1166,1025,1024,97
1,1166,1025,1024,98
1,1166,1025,1024,99
1,1166,1025,1024,100
0,112,246,1024,101
0,104,234,1024,102
0,-16,132,1024,103
1,1166,1025,1024,104
1,1166,1025,1024,105
0,80,207,1024,106
0,-16,133,1024,107
0,-16,138,1024,108
0,56,171,1024,109
0,-16,133,1024,110
0,48,165,1024,111
0,80,207,1024,112
0,104,239,1024,113
0,-72,61,1024,114
0,-8,149,1024,115
1,1166,1025,1024,116
0,88,211,1024,117
0,-40,106,1024,118
0,136,274,1024,119
1,1166,1025,1024,120
1,1166,1025,1024,121
0,88,210,1024,122
0,-72,67,1024,123
0,-8,142,1024,124
1,1166,1025,1024,125
0,56,171,1024,126
0,40,160,1024,127
1,1166,1025,1024,128
1,1166,1025,1024,129
1,1166,1025,1024,130
0,-16,133,1024,131
0,-16,138,1024,132
1,1166,1025,1024,133
0,56,171,1024,134
1,1166,1025,1024,135
0,120,256,1024,136
1,1166,1025,1024,137
0,40,150,1024,138
0,-40,109,1024,139
0,-16,134,1024,140
0,-104,28,1024,141
0,88,212,1024,142
0,56,175,1024,143
0,88,218,1024,144
0,88,214,1024,145
0,-168,143,1024,146
1,1166,1025,1024,147
0,-32,118,1024,148
0,-24,129,1024,149
0,-48,99,1024,150
1,1166,1025,1024,151
0,-32,117,1024,152
0,80,207,1024,153
0,-32,113,1024,154
0,72,193,1024,155
0,-40,104,1024,156
0,-40,102,1024,157
1,1166,1025,1024,158
0,-24,130,1024,159
0,104,237,1024,160
0,-64,77,1024,161
0,-16,135,1024,162
1,1166,1025,1024,163
0,80,206,1024,164
0,88,217,1024,165
0,-8,149,1024,166
0,120,257,1024,167
1,1166,1025,1024,168
0,64,188,1024,169
0,112,245,1024,170
1,1166,1025,1024,171
0,56,172,1024,172
0,40,159,1024,173
0,72,192,1024,174
0,-64,80,1024,175
0,-16,135,1024,176
0,48,168,1024,177
0,-48,100,1024,178
0,72,194,1024,179
0,72,190,1024,180
0,104,232,1024,181
1,1166,1025,1024,182
1,1166,1025,1024,183
0,-48,97,1024,184
0,64,186,1024,185
1,1166,1025,1024,186
0,88,216,1024,187
0,112,243,1024,188
1,1166,1025,1024,189
0,-32,112,1024,190
1,1166,1025,1024,191
0,-40,108,1024,192
0,-40,104,1024,193
1,1166,1025,1024,194
1,1166,1025,1024,195
0,-72,70,1024,196
1,1166,1025,1024,197
0,-24,128,1024,198
1,1166,1025,1024,199
1,1166,1025,1024,200
0,80,200,1024,201
0,56,180,1024,202
0,-32,113,1024,203
0,-16,133,1024,204
0,-16,135,1024,205
0,104,237,1024,206
1,1166,1025,1024,207
0,-56,84,1024,208
0,56,174,1024,209
0,152,292,1024,210
0,104,230,1024,211
1,1166,1025,1024,212
0,104,239,1024,213
0,88,213,1024,214
0,-8,142,1024,215
1,1166,1025,1024,216
0,-24,130,1024,217
1,1166,1025,1024,218
0,-24,126,1024,219
1,1166,1025,1024,220
0,64,182,1024,221
1,1166,1025,1024,222
0,-48,93,1024,223
0,136,278,1024,224
1,1166,1025,1024,225
1,1166,1025,1024,226
0,-56,81,1024,227
0,72,195,1024,228
1,1166,1025,1024,229
1,1166,1025,1024,230
1,1166,1025,1024,231
0,112,248,1024,232
0,80,205,1024,233
0,72,193,1024,234
1,1166,1025,1024,235
0,-40,108,1024,236
1,1166,1025,1024,237
0,-24,129,1024,238
1,1166,1025,1024,239
1,1166,1025,1024,240
1,1166,1025,1024,241
0,64,188,1024,242
1,1166,1025,1024,243
0,56,176,1024,244
0,-24,123,1024,245
0,40,156,1024,246
0,-56,87,1024,247
1,1166,1025,1024,248
0,-64,73,1024,249
0,72,195,1024,250
1,1166,1025,1024,251
0,48,163,1024,252
1,1166,1025,1024,253
0,-56,89,1024,254
0,64,184,1024,255
0,-48,98,1024,256
1,1166,1025,1024,257
0,-48,95,1024,258
1,1166,1025,1024,259
1,1166,1025,1024,260
1,1166,1025,1024,261
1,1166,1025,1024,262
1,1166,1025,1024,263
1,1166,1025,1024,264
1,1166,1025,1024,265
0,-16,138,1024,266
1,1166,1025,1024,267
0,56,177,1024,268
0,96,227,1024,269
1,1166,1025,1024,270
0,64,186,1024,271
0,-32,120,1024,272
0,104,234,1024,273
0,-32,119,1024,274
1,1166,1025,1024,275
0,-224,76,1024,276
1,1166,1025,1024,277
0,-216,86,1024,278
1,1166,1025,1024,279
1,1166,1025,1024,280
0,88,214,1024,281
1,1166,1025,1024,282
0,152,296,1024,283
1,1166,1025,1024,284
0,-48,93,1024,285
1,1166,1025,1024,286
0,48,169,1024,287
1,1166,1025,1024,288
1,1166,1025,1024,289
0,80,206,1024,290
1,1166,1025,1024,291
1,1166,1025,1024,292
1,1166,1025,1024,293
0,64,184,1024,294
0,48,164,1024,295
1,1166,1025,1024,296
0,104,236,1024,297
1,1166,1025,1024,298
0,-16,131,1024,299
1,1166,1025,1024,300
0,104,237,1024,301
0,-8,146,1024,302
1,1166,1025,1024,303
1,1166,1025,1024,304
0,-24,123,1024,305
0,-72,67,1024,306
1,1166,1025,1024,307
0,152,294,1024,308
0,40,152,1024,309
1,1166,1025,1024,310
0,56,179,1024,311
1,1166,1025,1024,312
0,-24,122,1024,313
1,1166,1025,1024,314
0,56,179,1024,315
0,136,276,1024,316
1,1166,1025,1024,317
0,-40,106,1024,318
0,-16,140,1024,319
0,-64,76,1024,320
0,-48,100,1024,321
0,-24,130,1024,322
1,1166,1025,1024,323
1,1166,1025,1024,324
0,48,163,1024,325
0,-48,100,1024,326
0,-24,124,1024,327
1,1166,1025,1024,328
0,-16,131,1024,329
1,1166,1025,1024,330
0,40,156,1024,331
0,-16,138,1024,332
1,1166,1025,1024,333
1,1166,1025,1024,334
0,88,214,1024,335
0,-80,60,1024,336
1,1166,1025,1024,337
1,1166,1025,1024,338
1,1166,1025,1024,339
0,80,202,1024,340
0,-24,130,1024,341
1,1166,1025,1024,342
0,40,153,1024,343
0,-24,123,1024,344
1,1166,1025,1024,345
1,1166,1025,1024,346
0,64,186,1024,347
0,-48,95,1024,348
0,-176,130,1024,349
0,72,193,1024,350
0,-48,91,1024,351
0,48,166,1024,352
0,96,227,1024,353
0,-48,97,1024,354
0,-40,109,1024,355
0,72,197,1024,356
1,1166,1025,1024,357
0,-40,108,1024,358
0,80,208,1024,359
1,1166,1025,1024,360
0,96,221,1024,361
0,72,192,1024,362
0,64,187,1024,363
1,1166,1025,1024,364
0,-40,109,1024,365
0,-64,79,1024,366
0,-184,129,1024,367
0,64,181,1024,368
0,96,224,1024,369
0,128,266,1024,370
0,72,200,1024,371
0,-32,120,1024,372
0,120,259,1024,373
0,56,174,1024,374
1,1166,1025,1024,375
0,-56,85,1024,376
1,1166,1025,1024,377
0,-40,107,1024,378
0,80,202,1024,379
1,1166,1025,1024,380
0,-64,72,1024,381
1,1166,1025,1024,382
0,-48,91,1024,383
1,1166,1025,1024,384
0,-40,104,1024,385
0,-168,144,1024,386
1,1166,1025,1024,387
0,-64,79,1024,388
0,136,274,1024,389
0,-24,124,1024,390
1,1166,1025,1024,391
0,56,178,1024,392
0,88,211,1024,393
1,1166,1025,1024,394
0,104,233,1024,395
0,64,187,1024,396
1,1166,1025,1024,397
1,1166,1025,1024,398
0,56,175,1024,399
1,1166,1025,1024,400
0,104,238,1024,401
1,1166,1025,1024,402
1,1166,1025,1024,403
1,1166,1025,1024,404
0,-176,137,1024,405
0,128,262,1024,406
0,-48,99,1024,407
0,40,153,1024,408
0,56,173,1024,409
1,1166,1025,1024,410
1,1166,1025,1024,411
1,1166,1025,1024,412
1,1166,1025,1024,413
0,88,216,1024,414
1,1166,1025,1024,415
1,1166,1025,1024,416
0,72,199,1024,417
0,56,173,1024,418
1,1166,1025,1024,419
0,40,158,1024,420
1,1166,1025,1024,421
0,48,165,1024,422
0,-40,101,1024,423
0,-56,85,1024,424
0,72,195,1024,425
0,-40,104,1024,426
0,112,246,1024,427
0,136,272,1024,428
0,-8,146,1024,429
0,80,206,1024,430
0,-40,109,1024,431
0,-16,139,1024,432
0,56,179,1024,433
0,-8,150,1024,434
1,1166,1025,1024,435
0,112,242,1024,436
1,1166,1025,1024,437
0,88,217,1024,438
0,-40,107,1024,439
0,80,209,1024,440
0,80,201,1024,441
0,48,169,1024,442
0,-40,102,1024,443
0,120,254,1024,444
0,-168,141,1024,445
0,80,201,1024,446
0,48,163,1024,447
1,1166,1025,1024,448
0,-56,88,1024,449
0,40,155,1024,450
1,1166,1025,1024,451
1,1166,1025,1024,452
0,120,259,1024,453
0,-16,138,1024,454
1,1166,1025,1024,455
1,1166,1025,1024,456
0,48,165,1024,457
1,1166,1025,1024,458
0,112,248,1024,459
0,40,160,1024,460
0,-48,97,1024,461
1,1166,1025,1024,462
1,1166,1025,1024,463
0,72,193,1024,464
0,-40,107,1024,465
1,1166,1025,1024,466
0,-48,98,1024,467
0,-72,70,1024,468
1,1166,1025,1024,469
0,112,245,1024,470
1,1166,1025,1024,471
0,96,223,1024,472
0,88,216,1024,473
1,1166,1025,1024,474
0,40,151,1024,475
1,1166,1025,1024,476
0,-32,119,1024,477
0,-48,95,1024,478
0,64,185,1024,479
0,-40,109,1024,480
1,1166,1025,1024,481
0,72,193,1024,482
0,104,238,1024,483
1,1166,1025,1024,484
1,1166,1025,1024,485
0,72,198,1024,486
0,40,155,1024,487
0,-16,132,1024,488
1,1166,1025,1024,489
0,-24,121,1024,490
1,1166,1025,1024,491
0,-40,109,1024,492
1,1166,1025,1024,493
1,1166,1025,1024,494
1,1166,1025,1024,495
0,56,174,1024,496
1,1166,1025,1024,497
0,-192,116,1024,498
0,-48,95,1024,499
0,-32,114,1024,500
1,1166,1025,1024,501
0,72,196,1024,502
1,1166,1025,1024,503
1,1166,1025,1024,504
1,1166,1025,1024,505
0,80,201,1024,506
0,-24,125,1024,507
1,1166,1025,1024,508
0,-56,89,1024,509
0,-8,150,1024,510
0,64,183,1024,511
0,136,275,1024,512
0,56,173,1024,513
1,1166,1025,1024,514
1,1166,1025,1024,515
1,1166,1025,1024,516
1,1166,1025,1024,517
0,-176,136,1024,518
1,1166,1025,1024,519
0,72,198,1024,520
1,1166,1025,1024,521
0,88,218,1024,522
1,1166,1025,1024,523
1,1166,1025,1024,524
0,40,156,1024,525
0,96,229,1024,526
0,88,220,1024,527
1,1166,1025,1024,528
0,-48,99,1024,529
1,1166,1025,1024,530
0,-48,100,1024,531
1,1166,1025,1024,532
0,56,171,1024,533
0,48,163,1024,534
1,1166,1025,1024,535
0,-24,122,1024,536
0,-32,117,1024,537
1,1166,1025,1024,538
0,96,229,1024,539
1,1166,1025,1024,540
0,-24,128,1024,541
1,1166,1025,1024,542
1,1166,1025,1024,543
0,-56,85,1024,544
0,-168,148,1024,545
0,-24,123,1024,546
0,-16,140,1024,547
0,64,188,1024,548
0,56,174,1024,549
0,-96,35,1024,550
0,56,176,1024,551
1,1166,1025,1024,552
1,1166,1025,1024,553
0,-40,107,1024,554
0,-64,76,1024,555
0,-24,127,1024,556
0,120,250,1024,557
0,-40,105,1024,558
0,-40,110,1024,559
0,56,173,1024,560
0,64,181,1024,561
1,1166,1025,1024,562
0,56,175,1024,563
0,-176,132,1024,564
0,-24,126,1024,565
0,72,192,1024,566
0,80,203,1024,567
0,112,249,1024,568
0,48,163,1024,569
0,128,260,1024,570
1,1166,1025,1024,571
0,72,191,1024,572
0,-24,123,1024,573
0,48,169,1024,574
1,1166,1025,1024,575
1,1166,1025,1024,576
0,96,222,1024,577
1,1166,1025,1024,578
